Rank,Player,PTS,Date,Tm
1,Wilt Chamberlain*,100,1962-03-02,PHW
2,Kobe Bryant*,81,2006-01-22,LAL
3,Wilt Chamberlain*,78,1961-12-08,PHW
4,Luka Dončić,73,2024-01-26,DAL
,David Thompson*,73,1978-04-09,DEN
,Wilt Chamberlain*,73,1962-11-16,SFW
,Wilt Chamberlain*,73,1962-01-13,PHW
8,Wilt Chamberlain*,72,1962-11-03,SFW
9,Damian Lillard,71,2023-02-26,POR
,Donovan Mitchell,71,2023-01-02,CLE
,David Robinson*,71,1994-04-24,SAS
,Elgin Baylor*,71,1960-11-15,LAL
13,Joel Embiid,70,2024-01-22,PHI
,Devin Booker,70,2017-03-24,PHO
,Wilt Chamberlain*,70,1963-03-10,SFW
16,Michael Jordan*,69,1990-03-28,CHI
17,Pete Maravich*,68,1977-02-25,NOJ
,Wilt Chamberlain*,68,1967-12-16,PHI
19,Wilt Chamberlain*,67,1963-01-11,SFW
,Wilt Chamberlain*,67,1962-02-25,PHW
,Wilt Chamberlain*,67,1962-02-17,PHW
,Wilt Chamberlain*,67,1961-03-09,PHW
23,Wilt Chamberlain*,66,1969-02-09,LAL
24,Kobe Bryant*,65,2007-03-16,LAL
,Wilt Chamberlain*,65,1966-02-07,PHI
,Wilt Chamberlain*,65,1962-02-27,PHW
,Wilt Chamberlain*,65,1962-02-13,PHW
28,Giannis Antetokounmpo,64,2023-12-13,MIL
,Michael Jordan*,64,1993-01-16,CHI
,Rick Barry*,64,1974-03-26,GSW
,Elgin Baylor*,64,1959-11-08,MNL
32,George Gervin*,63,1978-04-09,SAS
,Wilt Chamberlain*,63,1964-11-26,SFW
,Wilt Chamberlain*,63,1962-12-14,SFW
,Jerry West*,63,1962-01-17,LAL
,Elgin Baylor*,63,1961-12-08,LAL
,Joe Fulks*,63,1949-02-10,PHW
38,Devin Booker,62,2024-01-26,PHO
,Karl-Anthony Towns,62,2024-01-22,MIN
,Stephen Curry,62,2021-01-03,GSW
,Carmelo Anthony,62,2014-01-24,NYK
,Kobe Bryant*,62,2005-12-20,LAL
,Tracy McGrady*,62,2004-03-10,ORL
,Wilt Chamberlain*,62,1966-03-03,PHI
,Wilt Chamberlain*,62,1964-11-15,SFW
,Wilt Chamberlain*,62,1963-01-29,SFW
,Wilt Chamberlain*,62,1962-01-21,PHW
,Wilt Chamberlain*,62,1962-01-17,PHW
,Wilt Chamberlain*,62,1962-01-14,PHW
50,Jalen Brunson,61,2024-03-29,NYK
,Damian Lillard,61,2020-08-11,POR
,Damian Lillard,61,2020-01-20,POR
,James Harden,61,2019-03-22,HOU
,James Harden,61,2019-01-23,HOU
,LeBron James,61,2014-03-03,MIA
,Kobe Bryant*,61,2009-02-02,LAL
,Shaquille O'Neal*,61,2000-03-06,LAL
,Karl Malone*,61,1990-01-27,UTA
,Michael Jordan*,61,1987-04-16,CHI
,Michael Jordan*,61,1987-03-04,CHI
,Wilt Chamberlain*,61,1962-12-18,SFW
,Wilt Chamberlain*,61,1962-12-11,SFW
,Wilt Chamberlain*,61,1962-11-21,SFW
,Wilt Chamberlain*,61,1962-02-28,PHW
,Wilt Chamberlain*,61,1962-02-22,PHW
,Wilt Chamberlain*,61,1961-12-09,PHW
,George Mikan*,61,1952-01-20,MNL
68,Stephen Curry,60,2024-02-03,GSW
,Damian Lillard,60,2023-01-25,POR
,Luka Dončić,60,2022-12-27,DAL
,Kyrie Irving,60,2022-03-15,BRK
,Karl-Anthony Towns,60,2022-03-14,MIN
,Jayson Tatum,60,2021-04-30,BOS
,Bradley Beal,60,2021-01-06,WAS
,James Harden,60,2019-11-30,HOU
,Damian Lillard,60,2019-11-08,POR
,Kemba Walker,60,2018-11-17,CHO
,James Harden,60,2018-01-30,HOU
,Klay Thompson,60,2016-12-05,GSW
,Kobe Bryant*,60,2016-04-13,LAL
,Kobe Bryant*,60,2007-03-22,LAL
,Gilbert Arenas,60,2006-12-17,WAS
,Allen Iverson*,60,2005-02-12,PHI
,Tom Chambers,60,1990-03-24,PHO
,Larry Bird*,60,1985-03-12,BOS
,Bernard King*,60,1984-12-25,NYK
,Wilt Chamberlain*,60,1969-01-26,LAL
,Wilt Chamberlain*,60,1961-12-29,PHW
,Wilt Chamberlain*,60,1961-12-01,PHW
90,Joel Embiid,59,2022-11-13,PHI
,James Harden,59,2019-10-30,HOU
,Devin Booker,59,2019-03-25,PHO
,Damian Lillard,59,2017-04-08,POR
,Anthony Davis,59,2016-02-21,NOP
,Michael Jordan*,59,1988-04-03,CHI
,Purvis Short,59,1984-11-17,GSW
,Wilt Chamberlain*,59,1964-02-11,SFW
,Wilt Chamberlain*,59,1964-01-28,SFW
,Wilt Chamberlain*,59,1963-12-06,SFW
,Wilt Chamberlain*,59,1962-12-02,SFW
,Wilt Chamberlain*,59,1962-11-18,SFW
,Wilt Chamberlain*,59,1962-10-30,SFW
,Wilt Chamberlain*,59,1962-02-08,PHW
,Wilt Chamberlain*,59,1961-12-25,PHW
,Jack Twyman*,59,1960-01-15,CIN